0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:12:06 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:12:06 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:12:06 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:14:04 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:14:04 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:14:04 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:14:57 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:14:57 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:14:57 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:07 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:07 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:07 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:25 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:26 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:26 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:32 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:32 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:32 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:44 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:45 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:45 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:50 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:50 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:50 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:15:57 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 803
